ID,Name,Sex,Age,NOC,Games,Year,Season,City,Sport,Event,Medal,Last_Name,Order,Start,End
79121,Caren Metschuck Mahn,1,16,GER,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Freestyle,Silver,Mahn,3830,1980,1980
80994,Anke Mhring,1,19,GER,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 800 metres Freestyle,,Mhring,4137,1988,1988
80994,Anke Mhring,1,19,GER,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 400 metres Freestyle,Bronze,Mhring,4137,1988,1988
82910,Charlotte Lotte Mhe Eschrich,1,18,GER,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Women's 200 metres Breaststroke,Bronze,Eschrich,1716,1928,1928
86555,Carola Nitschke Beraktschjan,1,14,GER,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,Beraktschjan,534,1976,1976
86555,Carola Nitschke Beraktschjan,1,14,GER,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 200 metres Breaststroke,,Beraktschjan,534,1976,1976
86555,Carola Nitschke Beraktschjan,1,14,GER,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 100 metres Breaststroke,,Beraktschjan,534,1976,1976
86707,Peter Nocke,0,20,GER,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,Nocke,4523,1976,1976
86707,Peter Nocke,0,20,GER,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Nocke,4523,1976,1976
86707,Peter Nocke,0,20,GER,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 100 metres Freestyle,Bronze,Nocke,4523,1976,1976
86707,Peter Nocke,0,20,GER,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 200 metres Freestyle,,Nocke,4523,1976,1976
86857,Kathleen Nord Schwartz,1,22,GER,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 400 metres Individual Medley,,Schwartz,5614,1988,1988
86857,Kathleen Nord Schwartz,1,22,GER,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Butterfly,Gold,Schwartz,5614,1988,1988
89893,Simone Osygus Brune,1,27,GER,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,Brune,875,1992,1996
89893,Simone Osygus Brune,1,27,GER,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 50 metres Freestyle,,Brune,875,1992,1996
89893,Simone Osygus Brune,1,27,GER,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,Brune,875,1992,1996
89893,Simone Osygus Brune,1,23,GER,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,Brune,875,1992,1996
89893,Simone Osygus Brune,1,23,GER,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 50 metres Freestyle,,Brune,875,1992,1996
89893,Simone Osygus Brune,1,23,GER,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Freestyle,,Brune,875,1992,1996
89893,Simone Osygus Brune,1,23,GER,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,Brune,875,1992,1996
90020,Kristin Otto,1,22,GER,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 50 metres Freestyle,Gold,Otto,4676,1988,1988
90020,Kristin Otto,1,22,GER,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Backstroke,Gold,Otto,4676,1988,1988
90020,Kristin Otto,1,22,GER,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,Otto,4676,1988,1988
90020,Kristin Otto,1,22,GER,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Freestyle,Gold,Otto,4676,1988,1988
90020,Kristin Otto,1,22,GER,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,Otto,4676,1988,1988
90020,Kristin Otto,1,22,GER,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Butterfly,Gold,Otto,4676,1988,1988
90021,Louise Otto Sander,1,15,GER,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 100 metres Freestyle,,Sander,5480,1912,1912
90021,Louise Otto Sander,1,15,GER,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,Sander,5480,1912,1912
92567,Heidi Pechstein Kunze,1,20,GER,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 400 metres Freestyle,,Kunze,3424,1960,1964
92567,Heidi Pechstein Kunze,1,20,GER,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,,Kunze,3424,1960,1964
92567,Heidi Pechstein Kunze,1,16,GER,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 100 metres Freestyle,,Kunze,3424,1960,1964
92567,Heidi Pechstein Kunze,1,16,GER,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,Kunze,3424,1960,1964
93676,Gabriele Perthes,1,20,GER,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,Perthes,4840,1968,1968
94348,Stefan Pfeiffer,0,26,GER,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,Pfeiffer,4869,1984,1992
94348,Stefan Pfeiffer,0,26,GER,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 400 metres Freestyle,,Pfeiffer,4869,1984,1992
94348,Stefan Pfeiffer,0,26,GER,1992 Summer,1992,Summer,Barcelona,Swimming,"Swimming Men's 1,500 metres Freestyle",,Pfeiffer,4869,1984,1992
94348,Stefan Pfeiffer,0,22,GER,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,Pfeiffer,4869,1984,1992
94348,Stefan Pfeiffer,0,22,GER,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 400 metres Freestyle,,Pfeiffer,4869,1984,1992
94348,Stefan Pfeiffer,0,22,GER,1988 Summer,1988,Summer,Seoul,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver,Pfeiffer,4869,1984,1992
94348,Stefan Pfeiffer,0,18,GER,1984 Summer,1984,Summer,Los Angeles,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,Pfeiffer,4869,1984,1992
94348,Stefan Pfeiffer,0,18,GER,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 400 metres Freestyle,,Pfeiffer,4869,1984,1992
94379,Frank Pftze,0,21,GER,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 400 metres Freestyle,,Pftze,4870,1976,1980
94379,Frank Pftze,0,21,GER,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,Pftze,4870,1976,1980
