ID,FirstYear,LastYear
12725,1976,1976
12737,1980,1980
12747,2016,2016
12753,2000,2008
12754,2004,2012
12758,1948,1952
12766,1976,1976
12778,2004,2008
12779,1980,1988
12798,1988,1988
12799,1980,1980
12808,2016,2016
12823,1984,1988
12846,2012,2016
12860,1908,1908
12863,2008,2008
12887,1952,1960
12891,1976,1976
12898,1988,1988
12912,2000,2000
12938,2008,2008
12940,1920,1920
12979,1968,1968
12980,2012,2012
12988,1936,1936
13000,1984,1992
13002,1996,1996
13022,2012,2012
13031,1924,1924
13070,1984,1984
13074,2004,2004
13080,1952,1952
13137,1996,2004
13181,2004,2004
13207,1952,1952
13215,1992,1996
13250,1992,1992
13251,2012,2016
13268,1952,1952
13279,1980,1980
13294,1948,1948
13296,1964,1964
13340,1980,1980
13358,1932,1932
13364,1972,1972
13369,2012,2012
13380,2008,2008
13416,1988,1996
13431,2000,2000
13443,1968,1972
13446,1924,1924
13447,1920,1928
13448,1936,1936
13462,1992,2004
13468,1988,1988
13473,1976,1976
13481,1972,1972
13492,1976,1984
13497,1964,1964
13500,1980,1980
13501,1996,2000
13502,1952,1952
13520,1948,1952
13523,1972,1976
13546,1968,1968
13550,1972,1976
13559,1906,1906
13572,1988,1988
13574,2000,2004
13580,1996,1996
13593,1960,1960
13649,2012,2012
13650,1976,1984
13667,1984,1984
13669,1976,1976
13684,1988,1988
13686,2008,2012
13701,1968,1968
13713,1964,1968
13715,1984,1988
13716,2016,2016
13737,1996,2000
13738,1980,1980
13757,1980,1980
13780,2004,2008
13786,2000,2000
13791,2016,2016
13816,2000,2000
13819,2004,2004
13830,1956,1956
13841,1952,1952
13842,1948,1952
13854,1960,1960
13860,1996,1996
13879,1988,1988
13882,1976,1976
13912,1936,1936
13923,2016,2016
13939,1988,1988
14000,1906,1906
14041,1960,1960
14052,2004,2008
14064,2008,2008
14097,1964,1964
14099,1992,1992
14105,2016,2016
14124,1948,1948
14129,1924,1924
14131,1928,1936
14159,2000,2016
14194,1924,1924
14199,2000,2004
14208,1960,1960
14227,2000,2016
14228,2008,2008
14264,1992,1992
14279,1984,1984
14293,1968,1972
14334,1988,1988
14346,1948,1948
14367,1920,1920
14369,1924,1924
14373,2008,2016
14415,2000,2000
14417,1952,1956
14444,1972,1972
14481,1964,1964
14482,1904,1904
14516,1976,1976
14542,1968,1968
14557,1992,1992
14579,1996,1996
14592,2000,2000
14618,2008,2008
14633,1976,1976
14637,1984,1984
14644,1992,1992
14645,2008,2016
14666,2004,2016
14709,1976,1976
14719,1924,1924
14738,1904,1904
14769,1996,2000
14776,1960,1960
14778,1976,1976
14797,1948,1948
14805,1992,1996
14854,1928,1928
14860,2000,2008
14862,2008,2008
14863,1956,1960
14909,1996,2008
14911,1992,1996
14921,1996,2000
14928,1992,1992
14956,1936,1936
14985,2000,2000
14986,1912,1912
14997,2008,2008
15002,1988,1988
15003,1984,1984
15006,1980,1984
15015,1956,1956
15017,1924,1924
15051,1964,1964
15061,1936,1936
15064,1996,1996
15073,1988,1996
15099,2008,2008
15100,1972,1976
15126,1928,1928
15131,1972,1976
15140,1996,2000
15142,1960,1960
15152,1956,1956
15165,2004,2004
15167,1976,1976
15177,2008,2008
15210,2016,2016
15222,2004,2004
15247,1948,1956
15259,1928,1928
15266,2008,2008
15326,2016,2016
15352,1980,1984
15387,1980,1984
15388,1928,1928
15409,1976,1976
15431,2008,2012
15433,1968,1968
15438,1988,1988
15442,1936,1936
15443,1956,1956
15462,2008,2012
15481,2012,2012
15507,2016,2016
15534,1988,1992
15536,1968,1972
15566,2004,2008
15568,1972,1972
15573,1992,1992
15574,2000,2000
15581,1980,1980
15633,1980,1992
15655,2004,2004
15664,1988,1988
15665,1988,1988
15666,1972,1972
15668,1972,1972
15674,1992,2000
15675,1906,1906
15692,1948,1948
15710,2012,2016
15715,1952,1952
15719,1992,1992
15723,1984,1988
15739,1972,1972
15762,1996,1996
15763,1976,1976
15788,2016,2016
15816,1960,1964
15825,2012,2012
15858,1988,1988
15874,1996,1996
15885,2016,2016
15894,1992,1992
15944,2016,2016
15948,1980,1980
15962,2012,2016
15986,1992,2000
15987,1992,1992
15998,1952,1952
16001,1920,1920
16009,1984,1984
16032,1980,1980
16082,1964,1964
16084,1972,1972
16088,1968,1968
16137,2016,2016
16151,1928,1928
16205,2004,2008
16206,2000,2008
16222,1988,1992
16232,2000,2000
16257,1952,1952
16320,2004,2004
16322,1976,1976
16358,2004,2004
16396,1932,1932
16398,1992,1992
16416,1980,1984
16440,1972,1972
16452,1952,1952
16472,2008,2012
16479,2008,2008
16480,2012,2012
16482,1996,1996
16486,2000,2000
16487,1996,1996
16501,1968,1976
16505,1960,1960
16506,1988,1988
16523,1988,1988
16538,1900,1900
16542,1992,1996
16551,1960,1960
16572,2004,2004
16578,1972,1972
16611,1960,1960
16637,1972,1972
16654,2004,2008
16670,2016,2016
16681,2004,2012
16684,1976,1976
16695,1976,1976
16703,1952,1952
16722,1984,1984
16724,1968,1968
16739,2008,2008
16740,1932,1932
